name,country,region,EN,FR,AR,module_name,value,updated_at,latitude,longitude,instance_id,url
Kirkuk Non-Camp Refugees,Iraq,Kirkuk,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,763,2015-11-28 00:00:00,35.466700000,44.316700000,syria,
Camp-based Refugees,Turkey,Turkey,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,263680,2015-12-10 15:33:12,37.177826000,38.781738000,syria,
Amman,Jordan,Amman Governorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,170079,2015-12-02 00:00:00,31.949722000,35.932778000,syria,
Irbid,Jordan,Irbid Governorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,139638,2015-12-02 00:00:00,32.555560000,35.850000000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=175&country=107&region=74
Zaatari Refugee Camp,Jordan,Mafraq Governorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,79138,2015-12-02 00:00:00,32.294597000,36.316733000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=176&country=107&region=77
Mafraq,Jordan,Mafraq Governorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,76231,2015-12-02 00:00:00,32.355652000,36.227266000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=173&country=107&region=77
Zarqa,Jordan,Zarqa Governorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,48257,2015-12-02 00:00:00,32.072750000,36.087960000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=172&country=107&region=73
Domiz 1 Camp,Iraq,Duhok,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,40776,2015-11-28 00:00:00,36.782322310,42.891423780,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=254&country=103&region=63
Duhok Non-Camp,Iraq,Duhok,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,38809,2015-11-28 00:00:00,36.866667000,43.000000000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=148&country=103&region=63
Azraq Camp,Jordan,Zarqa Governorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,28335,2015-12-02 00:00:00,31.908000000,36.589000000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=251&country=107&region=73
Balqa,Jordan,Balqa Governorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,19711,2015-12-02 00:00:00,32.062792000,35.736465000,syria,
Darashakran Camp,Iraq,Erbil,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,10828,2015-11-28 00:00:00,36.465401000,43.888397000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=246&country=103&region=65
Madaba,Jordan,Madaba Governorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,10763,2015-12-02 00:00:00,31.715482000,35.795170000,syria,
